Name,Type,Phone Number,Website,Types,GPS Coordinates,Address
Luxury Retreats Portugal,Retreat center,,http://luxuryretreatsportugal.com/,Retreat center,"37.1187195, -8.6653048","R. Aristides de Sousa Mendes 28, 8600-302 Lagos, Portugal"
Cooking and Nature | Emotional Hotel,Hotel,+351 244 447 000,http://www.cookinghotel.com/,Hotel,"39.548657, -8.773484","Rua Asseguia das Lages nº 181, 2480-032 Alvados - Portugal, Portugal"
Nagomi Spa & Health,Wellness center,+31 20 678 8180,https://www.okura.nl/wellness/health/,"Wellness center,Physical fitness program,Sauna,Swimming pool","52.348718, 4.894031","Ferdinand Bolstraat 333, 1072 LH Amsterdam, Netherlands"
Nagomi Japanese Restaurant,Japanese restaurant,+31 6 51847388,,"Japanese restaurant,Restaurant","52.313077799999995, 4.8759247","Kostverlorenhof 67, 1183 HG Amstelveen, Netherlands"
Nagomi Spa Treatments,Massage spa,+31 20 678 8300,https://www.okura.nl/wellness/spa-treatment/,Massage spa,"52.348799299999996, 4.8939642999999995","Ferdinand Bolstraat 333, 1072 LH Amsterdam, Netherlands"
New Eden,Retreat center,,http://www.neweden.org/,"Retreat center,Conference center,Health resort,Yoga retreat center","53.038368899999995, 6.1545447","Sparjeburd 2, 8409 CK Hemrik, Netherlands"
Aloee Wellness,Retreat Center,(888) 303-7098,http://aloeewellness.com/,Retreat Center,"20.6247451, -87.0828198","C. 3 Sur con-Av. 40, Centro, 77710 Playa del Carmen, Q.R., Mexico"
Kawsay Ayahuasca Retreat,Retreat Center,+51 921 301 119,https://kawsayretreat.com/,Retreat Center,"-3.6370090999999998, -73.0763764","CW5F+C5, Indiana 16200, Peru"
Casa de la Madre Ayahuasca,Retreat Center,+51 929 790 337,,Retreat Center,"-8.337004, -74.5644332","Brisas, MZ C Lote 25 Los, Pucallpa, Peru"
Psychonauta Foundation,Retreat Center,+51 917 390 589,https://psychonauta.com/,Retreat Center,"-4.4820889, -73.5751478","Buen Retiro, Nauta 16300, Peru"
Avalon | Holistic Ayahuasca Retreats,Alternative medicine practitioner,+34 649 67 15 61,https://weareavalon.love/,Alternative medicine practitioner,"41.3847721, 2.1682082","Carrer de les Ramelleres, 32, Ciutat Vella, 08001 Barcelona, Spain"
Spain,,,,,"40.463667, -3.7492199999999998",
APL Shamanic Journeys | Ayahuasca Retreats,Meditation center,,https://www.apljourneys.com/,Meditation center,"36.5108512, -4.900185899999999","Edif. Golden, Av. Ricardo Soriano, 72, B, 1a Planta, 29601 Marbella, Málaga, Spain"
La Mezquita,Community center,+34 658 57 26 82,http://www.mezquita.life/,Community center,"38.4100725, -0.40412299999999995","Carrer de Sorolla, 14, 03560 El Campello, Alicante, Spain"
Hort de la Riera & Retirs Terapèutics,Retreat center,+34 633 81 11 89,https://www.hortdelariera.com/,"Retreat center,Serviced accommodation","41.6910112, 1.7966974999999998","Urb. Cal Pinyot -Masia Hort de la Riera, s/n, 08253, 08253 Sant Salvador de Guardiola, Barcelona, Spain"
Awaken Your Soul Costa Rica Retreat,Retreat Center,(800) 940-3638,http://www.awakenyoursoul.co/,Retreat Center,"8.2588996, -84.93997039999999",
Friends of the Vine Retreats,Retreat Center,+351 933 460 710,https://friendsofthevineretreats.com/,Retreat Center,"35.9915752, -18.826979599999998",
Shamballah Yoga Retreats,Retreat Center,+351 914 405 509,https://www.shamballahretreats.com/,Retreat Center,"38.8505131, -9.4450629","R. do Chão Velho 10, 2705-627 São João das Lampas, Portugal"
"Vikaralifestyle: Best Ayahuasca, Surf & Yoga Retreats center",Retreat Center,+593 98 527 6690,http://www.vikaralifestyle.com/,Retreat Center,"-1.7963691, -80.7594795","C. Rosa Mistica, Olon 241753, Ecuador"
School of Prana,Yoga studio,,http://www.riootoya.com/prana,Yoga studio,"38.7060003, -9.1549251","Number 78, R. da Cintura do Porto de Lisboa, 1200-109 Lisboa, Portugal"
Prana Casa,Yoga retreat center,+351 910 002 361,http://www.pranacasa.com/,"Yoga retreat center,Service establishment","37.316230999999995, -8.83171",
"Ocean & Yoga Transformative Bodywork & Retreats, Portugal, Aljezur, Algarve",Retreat center,+351 927 181 448,https://www.oceanandyoga.com/,"Retreat center,Life coach,Massage therapist,Meditation center,Yoga instructor","37.2606548, -8.8081296","Olho Branco, Alfambras, 8670-156, Portugal"
La Hacienda Cancun,Retreat Center,+52 998 147 5723,http://haciendacancun.mx/,Retreat Center,"21.110467999999997, -86.9649444","Carretera. Cancún-Mérida Km 302, C. Jacaranda 18, El Ramonal, 77500 Cancún, Q.R., Mexico"
KRAKTI Empowerment,Health consultant,,http://www.krakti.eu/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15594499785478062440,"Health consultant,Service establishment","52.190951, 5.2795551",
Krakti,Beauty salon,+31 15 364 3818,,Beauty salon,"51.9988691, 4.3521019999999995","Taj Mahalplaats, 2624 NH Delft, Netherlands"
Stichting Kraktie,Foundation,,,Foundation,"52.3591635, 4.8770202","Pieter Cornelisz Hooftstraat 147, 1071 BT Amsterdam, Netherlands"
MindTravellers,Retreat Center,+31 6 48463277,https://mindtravellers.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11498063858204731524,Retreat Center,"51.941997099999995, 5.2168548999999995","Nijverheidsweg 7, 4104 AN Culemborg, Netherlands"
Wanay Community | Retreat Center,Retreat Center,+41 78 894 27 81,https://wanaycommunity.com/,Retreat Center,"1.1258337999999999, -76.6862994","Zona Rural, Mocoa, Putumayo, Colombia"
Ananda Villa Zanzibar,Hotel,+255 777 231 202,,Hotel,"-6.246461699999999, 39.533918899999996","QG3M+CH7, Bwejuu, Tanzania"
Ananda Beach Hotel,Hotel,+255 712 180 525,https://hellocapitanozanzibar.com/,Hotel,"-6.2660005, 39.5360896","Zanzibar Paje, 11799, Tanzania"
Pura Vida Wellness Retreat,Retreat center,+52 322 209 5214,https://puravidaecoretreat.com/,"Retreat center,Wellness hotel,Wellness center,Yoga retreat center","20.4919063, -105.4526368","Huachinango 64 La Puntilla, 48440 Yelapa, Jal., Mexico"
Sweet Retreats Mexico,Retreat center,,http://www.sweetretreatsmx.com/,"Retreat center,Circus,Dance school,Gym,Physical fitness program","15.8421831, -97.0256474","calle Ciruelos S/N, 70938 Barra de Navidad, Oax., Mexico"
Equilibrium Healing Resort and Spa,Hotel,,,"Hotel,Bird watching area,Hiking area,Meditation center,Observatory,Wellness hotel,Yoga retreat center","20.429274799999998, -105.2986662","Carretera a Barra de Navidad km 185 s/n, 48447 Jal., Mexico"
Awaken to Life,Yoga retreat center,,http://awakentoliife.com/,Yoga retreat center,"21.166278, -105.2249659","1, Col. Playa, 63715 Chacala, Nay., Mexico"
Eleusinia Retreat,Tour operator,(281) 206-4227,http://www.eleusiniaretreat.com/,"Tour operator,Service establishment","49.013799999999996, -121.9883",
Sayulita Wellness Retreat,Retreat center,(833) 700-1002,http://sayulitawellnessretreat.com/,Retreat center,"20.7402809, -105.39222749999999","Carretera Punta de Mita, Number 406, 63732 Cruz de Huanacaxtle, Nay., Mexico"
Sadhana Lodge,Retreat Center,+39 339 256 2698,,Retreat Center,"20.217261099999998, -87.4521046","Fraccionamiento Villas, 77776 Tulum, Quintana Roo, Mexico"
Temple of the Way of Light,Retreat center,,https://templeofthewayoflight.org/,"Retreat center,Lodge","-3.743721, -73.363958","Sgto. Lores 841, Iquitos 16000, Peru"
Awkipuma Healing Center - Ayahuasca Retreat in Peru,Retreat center,+51 979 521 819,https://awkipuma.com/,Retreat center,"-3.7306874, -73.2499564","Iquitos 16008, Peru"
PACHAMAMA TEMPLE - AYAHUASCA RETREAT,Retreat center,,https://pachamamatemple.org/,"Retreat center,Alternative medicine practitioner,Community health centre,Psychoanalyst,Psychotherapist","-8.3347157, -74.6061718","AA.HH Pablo Hocking Weeks Mz. A, Lt 7., Pucallpa, Peru"
Flower of Life,Wellness center,(786) 393-0799,https://floweroflifeperu.com/,"Wellness center,Health resort,Retreat center,Wellness hotel,Wellness program","-3.7453957, -73.2469428","Oficina, Callao N°174, Iquitos, Peru"
Kawsay Ayahuasca Retreat,Tourist attraction,+51 921 301 119,https://kawsayretreat.com/,"Tourist attraction,Herbalist,Holistic medicine practitioner,Lodging,Mental health service,Retreat center,Spiritist center,Tour operator","-3.6370090999999998, -73.0763764","CW5F+C5, Indiana 16200, Peru"
"Dreamglade - Shamanic Healing Center -Iquitos, Peru",Retreat center,+51 920 478 240,http://www.dreamglade.com/,Retreat center,"-3.9012659999999997, -73.39355069999999","14692 varilla, Iquitos 16000, Peru"
Arkana Spiritual Center : Sacred Valley - Ayahuasca Retreat,Retreat center,+51 924 022 272,http://www.arkanainternational.com/,"Retreat center,Spa","-13.287565599999999, -72.1555758","Carretera a, Maras 08660, Peru"
Casa Del Maestro | Ayahuasca Retreat,Alternative medicine practitioner,+51 916 995 948,http://www.casadelmaestromedicina.com/,"Alternative medicine practitioner,Retreat center,Wellness center,Wellness program","-4.9048374, -73.6308171","Genaro Herrera 16330, Peru"
Lighthouse! Ayahuasca Retreat,Retreat center,+51 993 642 863,https://www.lighthouseayahuasca.org/,Retreat center,"-3.4652759, -72.923416","Iquitos 16200, Peru"
Sacred Valley Tribe - Maha Templo,Retreat center,+51 984 603 603,http://sacredvalleytribe.com/,"Retreat center,Alternative medicine practitioner","-13.471469899999999, -71.81644349999999","Km 24, La Pacha, Ccoscco Ayllu San Salvador, 08150, Peru"
Nimea Kaya Ayahuasca Retreat & Healing Center,Retreat center,+51 939 514 865,http://www.nimeakaya.org/,Retreat center,"-8.4172013, -74.5873317","La Florida, Pucallpa 25003, Peru"
Sacred Valley Tribe | Ayahuasca-Wasi,Retreat center,+51 984 603 603,http://sacredvalleytribe.com/,Retreat center,"-13.4721803, -71.8172719","Písac 08150, Peru"
Ayahuasca Foundation - Ayahuasca Retreats,Retreat center,+51 954 064 553,http://www.ayahuascafoundation.org/,Retreat center,"-3.8797097, -73.492565","Psje. K-18 Urb. Santa Sofia, Iquitos, Peru"
Caya Shobo Ayahuasca Retreat Healing Center,Lodge,+51 917 327 657,http://www.cayashobo.com/,"Lodge,Alternative medicine practitioner,Health spa","-3.8834773, -73.3668759","Varillal, 14km, Carr. Iquitos-Nauta, Iquitos 16000, Peru"
Ayahuasca And Noya Rao Healing Retreats,Retreat center,+51 921 535 093,https://ayahuascaandnoyaraohealingretreats.com/,Retreat center,"-8.3056592, -74.6195316","Caserio Santa Rosa, 25000, Peru"
Arkana Spiritual Center : Amazon - Ayahuasca Retreat,Retreat center,+51 924 022 272,http://www.arkanainternational.com/,"Retreat center,Psychoneurological specialized clinic","-3.7482548999999996, -73.2441649","Jirón Fitzcarrald 152, Iquitos 16002, Peru"
Tantraya | Ayahuasca Retreats,Retreat center,+51 916 664 089,https://tantraya.com/,Retreat center,"-13.421685199999999, -71.839512","CU-112, Písac 08105, Peru"
AYA Healing Retreats,Retreat center,+51 928 193 918,https://ayahealingretreats.com/,Retreat center,"-4.2317936, -73.48690909999999","Carretera Iquitos Nauta, Cahuide km. 57, Ucayali 16470, Peru"
Etnikas Ayahuasca retreats,Retreat center,+51 900 594 230,http://www.etnikas.com/,"Retreat center,Travel clinic","-13.4965228, -71.7546697","San Salvador 08150, Peru"
Alma Healing Center - Ayahuasca Retreat Ecuador,Retreat Center,+593 98 527 1478,https://almahealingcenter.com/,Retreat Center,"-0.2556538, -78.4054086","Via al Ilalo, 170902, Ecuador"
A New Day Retreats,Retreat Center,+34 684 22 77 77,http://www.anewdayretreats.com/,Retreat Center,"38.6220414, -0.1299547","Av. de Sagi Barba, 03520 Polop, Alicante, Spain"
Costa Rica,Retreat Center,,,Retreat Center,"9.748916999999999, -83.753428",
Antigua Mountain Trail,Hiking area,+502 4004 7414,http://www.antiguamountaintrail.com/,"Hiking area,Bird watching area,Nature preserve","14.543282999999999, -90.71913769999999","San Cristobal El Alto, Antigua Guatemala 03001, Guatemala"
Cerro El Cucurucho,Hiking area,+502 4004 7414,http://www.fincaelpilar.com/,Hiking area,"14.5185853, -90.69106909999999","G895+CH, Santa Maria de Jesús, Guatemala"
Forest Trail,Community garden,,,Community garden,"14.9173402, -91.36139229999999","Totonicapán, Guatemala"
Kawoq Forest,Yoga retreat center,+502 3301 1835,https://www.kawoqforest.com/,"Yoga retreat center,Wellness hotel,Yoga studio","14.731228799999998, -91.2623334","Unnamed Road, San Marcos La Laguna 07016, Guatemala"
ForestPath Guatemala-Texas-Australia,Retreat center,,http://forestpath.co/,"Retreat center,Service establishment","1.374711, -139.58418659999998",
Forrest Running Shop,Uniform store,+502 3321 5046,http://www.forrestrunningshop.com/,"Uniform store,Running store,Shoe store,Sporting goods store,Sports school,Sportwear manufacturer","14.588745099999999, -90.52041799999999","G, Edificio Los Arcos, Av. Las Américas 7-30, C.C Real Américas zona 13, Cdad. de Guatemala, Guatemala"
Pathway Creations,Retreat Center,(978) 736-3749,http://www.pathwaycreations.org/,Retreat Center,"37.8674493, -77.70920459999999","17009 Faithful Run, Montpelier, VA 23192"
Oregon Wellness Retreat by BFF,Retreat Center,(458) 285-5269,https://oregonwellnessretreat.com/,Retreat Center,"42.204509099999996, -122.7196417","438 N Main St, Ashland, OR 97520"
Tree of Life Facilitation Services LLC,Retreat Center,,https://www.treeoflifefacilitation.com/,Retreat Center,"45.538774, -122.6748786",
Sayulita Wellness Retreat,Retreat center,(833) 700-1002,http://sayulitawellnessretreat.com/,Retreat center,"20.7402809, -105.39222749999999","Carretera Punta de Mita, Number 406, 63732 Cruz de Huanacaxtle, Nay., Mexico"
Arkana Spiritual Center : Yucatan,Wellness center,,,Wellness center,"20.8872742, -88.9902992","Carretera, 97540 Izamal, Yuc., Mexico"
Karma Healing Nusery,Health spa,+52 954 137 6718,https://www.facebook.com/groups/3244824545810641/?ref=share_group_link,"Health spa,Cabin rental agency,Meditation center,Yoga studio","16.145035, -96.444195","4HW4+G7, 70860 San Mateo Río Hondo, Oax., Mexico"
Mr. & Mrs. Shrooms,Retreat Center,+1 876-919-2107,https://mrandmrshrooms.com/,Retreat Center,"18.2692151, -78.3484282",
Mind Heart Aligned Life,Life coach,+31 6 10717999,http://mindheartaligned.life/,Life coach,"52.3735254, 4.936344699999999","Rietlandpark 33, 1019 DR Amsterdam, Netherlands"
IN THE HEART OF CHANGE,Association / Organization,+31 6 28780736,http://intheheartofchange.com/,Association / Organization,"52.3948342, 4.906096","Johan van Hasseltkade 225a, 1032 LP Amsterdam, Netherlands"
Netherlands Heart Institute,Research institute,+31 30 233 3600,http://www.heart-institute.nl/,"Research institute,Cardiologist","52.088602599999994, 5.1137365","Moreelsepark 1, 3511 EP Utrecht, Netherlands"
Breathe Retreat,Retreat Center,,https://breatheretreat.life/,Retreat Center,"35.6079838, -97.5439476","1780 W Memorial Rd, Oklahoma City, OK 73134"
Experience Ibogaine Treatment Center,Retreat center,(800) 644-8482,https://www.experienceibogaine.com/,"Retreat center,Addiction treatment center,Alcoholism treatment program,Alternative medicine practitioner,Eating disorder treatment center,Holistic medicine practitioner,Medical Center,Medical clinic,Psychotherapist,Rehabilitation center","32.5237081, -117.1165161","P.º Ensenada 1317-6, Playas, Jardines Playas de Tijuana, 22505 Tijuana, B.C., Mexico"
Ibogainecancun.mx,Wellness center,(888) 453-3003,http://www.ibogainecancun.mx/,"Wellness center,Addiction treatment center,Retreat center,Rehabilitation center,Wellness program","21.0897993, -86.8656218","Supermanzana Fraccionamiento, Residencial Cumbres, 77560 Cancún, Q.R., Mexico"
IbogaQuest,Addiction treatment center,(802) 748-4600,https://ibogaquest.com/,Addiction treatment center,"18.988137599999998, -99.0904047","C. Netzahualcóyotl 43, Santo Domingo, 62520 Tepoztlán, Mor., Mexico"
Ibogaine Clinic Inc. by David Dardashti,Wellness center,(800) 818-4511,https://ibogaineclinic.com/,"Wellness center,Addiction treatment center,Rehabilitation center","20.613933, -87.09154079999999","Priv. Rtno Mayapan mz. 20-lt.15, fase 2, Playacar, 77717 Playa del Carmen, Q.R., Mexico"
Casa Santa Isabel Ibogaine Clinic,Retreat center,(619) 436-1200,https://www.casasantaisabel.com/,"Retreat center,Addiction treatment center,Alcoholism treatment program,Alternative medicine practitioner,Eating disorder treatment center,Holistic medicine practitioner,Medical clinic,Rehabilitation center","32.4184048, -117.0918342","CAMINO VECINAL S N, Baja Malibu, 22560 Playas de Rosarito, B.C., Mexico"
Baja Ibogaine Center,Addiction treatment center,(844) 660-4600,https://www.bajaibogainecenter.com/,Addiction treatment center,"32.4107402, -117.0905543","13065, Cto. Brescia, 22576 San Marino, B.C., Mexico"
Awakening in the Dream,Addiction treatment center,(415) 747-4248,http://www.awakeninginthedream.com/,"Addiction treatment center,Service establishment,Mental health service","23.5541269, -102.62049999999999",
Healthy Healing Goddess,Alternative medicine practitioner,(949) 230-0553,https://www.healthyhealinggoddess.com/,Alternative medicine practitioner,"20.606413999999997, -105.23387299999999","Guerrero 418, Centro, 48300 Puerto Vallarta, Jal., Mexico"
ilumina Healing Sanctuary,Acupuncture clinic,(602) 957-2602,http://www.iluminahealing.com/,"Acupuncture clinic,Acupuncturist,Alternative medicine practitioner,Chinese medicine clinic,Facial spa,Fertility clinic,Massage therapist,Women's health clinic","33.5024692, -111.91945299999999","7520 E Camelback Rd, Scottsdale, AZ 85251"
Sanctuary Tulum,Alternative medicine practitioner,(323) 612-2024,https://www.sanctuarytulum.com/,Alternative medicine practitioner,"20.2332362, -87.4165392","Carretera Federal Tulum km 230 + 201, 77780 Tulum, Q.R., Mexico"
Radiant Heart Yoga & Ceremonial Arts,Yoga studio,+52 755 141 4455,http://radiantheartyogatroncones.com/,"Yoga studio,Acupuncturist,Holistic medicine practitioner,Thai massage therapist","17.7960311, -101.7444137","Av. de la Playa, 40880 Troncones, Gro., Mexico"
Escuela FloreSiendo,Spiritist center,,,Spiritist center,"41.603415299999995, 2.6145663","Desconocido, 7, 08395 Can Valmanya, Barcelona, Spain"
Agualivar Spanish School,Language school,+34 644 32 84 20,http://spanishinagualivar.com/,Language school,"36.746338, -4.028408","las chorreras, 73, 29760 Lagos, Málaga, Spain"
Escuela El espacio de la Flor Growing Together,Education center,+34 636 65 20 10,http://www.elespaciodelaflor.org/,"Education center,Service establishment","40.6539903, -4.0378665",
Rastafari Indigenous Village,Cultural center,+1 876-285-4750,http://www.rastavillage.com/,"Cultural center,Agricultural production,Cultural landmark,Education center,Event management company,Heritage preservation,Vegan restaurant,Wellness center","18.4586461, -77.8827664","Montego River Gardens Porto Bello, Irwin Close, Montego Bay, Jamaica"
Rasta Village,Community center,+1 876-285-4750,http://www.rastavillage.com/,Community center,"18.459997299999998, -77.8868741","Fairfield Cres, Montego Bay, Jamaica"
Shamanic Place Life-Changing Journey,Retreat center,+506 6227 4604,,Retreat center,"9.6055897, -82.7014293","Street Paraiso 4 km south from, Limón Province, Punta Uva, 70403, Costa Rica"
Nada Brahma - Ayahuasca Spiritual Retreats Costa Rica,Retreat center,+506 8864 3241,https://nadabrahmahealingcenter.com/,"Retreat center,Service establishment","8.2588996, -84.93997039999999",
The Confluence Event Center,Wedding venue,(304) 658-8888,http://www.confluenceresort.com/,"Wedding venue,Event venue,Historical landmark,Mountain cabin","38.1815356, -80.951529","825 Patterson Ferry Rd, Hico, WV 25854"
Paddler's Lane Retreat,Bed & breakfast,(814) 964-0410,https://www.paddlerslane.com/,"Bed & breakfast,Cabin rental agency,Campground,Vacation home rental agency","39.8280411, -79.38027869999999","255 Paddlers Ln, Confluence, PA 15424"
Synchronicities Wellness Retreat Center,Retreat center,(801) 888-7344,http://www.1111light.com/,Retreat center,"40.5802924, -111.87318409999999","9419 S Union Square Suite D, Sandy, UT 84070"
Mount Madonna Center,Retreat center,(408) 847-0406,https://www.mountmadonna.org/,"Retreat center,Educational institution,Event venue","37.0250244, -121.74555199999999","445 Summit Rd, Watsonville, CA 95076"
Rio Retreat Center,Retreat center,(866) 526-5277,https://www.rioretreatcenter.com/,Retreat center,"33.9837552, -112.729877","1245 Jack Burden Rd, Wickenburg, AZ 85390"
Medicine Woman Retreats,Psychotherapist,(303) 704-2446,http://www.medicinewomanretreats.com/,"Psychotherapist,Service establishment,Retreat center,Wellness program","31.9839922, -60.0336705",
The Confluence Hotel,Hotel,(651) 432-0202,https://confluencehotel.com/,Hotel,"44.7449138, -92.8541116","200 2nd St W, Hastings, MN 55033"
Life in the Confluence,Life coach,(530) 205-3880,http://www.lifeintheconfluence.com/,"Life coach,Service establishment","39.218787999999996, -121.053704",
Retreat Finder,Internet marketing service,,https://retreatfinder.com/,"Internet marketing service,Service establishment","46.423669, -129.9427086",
Sushi Now Costa Rica,Retreat Center,+506 7025 9124,,Retreat Center,"9.921733699999999, -84.1391817","casona de laly, Escazu,plaza Roseto contiguo a, San José, Escazú, Costa Rica"
White Rabbit Collective,Retreat Center,(405) 761-6981,http://www.whiterabbitcollective.net/,Retreat Center,"46.423669, -129.9427086",
Gaia Sagrada Ayahuasca Retreat Center,Retreat Center,+593 98 590 4836,http://www.gaiasagrada.com/,Retreat Center,"-2.8725069999999997, -78.844076","Via a Llayzhatan Bajo 108, Cuenca, Ecuador"
Sayulita Wellness Retreat,Retreat center,(833) 700-1002,http://sayulitawellnessretreat.com/,Retreat center,"20.7402809, -105.39222749999999","Carretera Punta de Mita, Number 406, 63732 Cruz de Huanacaxtle, Nay., Mexico"
Arkana Spiritual Center : Yucatan,Wellness center,,,Wellness center,"20.8872742, -88.9902992","Carretera, 97540 Izamal, Yuc., Mexico"
Karma Healing Nusery,Health spa,+52 954 137 6718,https://www.facebook.com/groups/3244824545810641/?ref=share_group_link,"Health spa,Cabin rental agency,Meditation center,Yoga studio","16.145035, -96.444195","4HW4+G7, 70860 San Mateo Río Hondo, Oax., Mexico"
SET & SETTING Retreat - Psychedelisches Psilocybin Retreat,Retreat center,+49 1515 4998051,https://www.setandsetting-retreat.com/,Retreat center,"52.3352739, 4.9348535","Joop Geesinkweg 901-999, 1114 AB Amsterdam, Netherlands"
The Land of Now,Yoga retreat center,+31 6 21621677,https://www.thelandofnow.com/,"Yoga retreat center,Conference center","53.22746, 6.8642281999999994","Veenweg 9a, 9628 TW Siddeburen, Netherlands"
Inwardbound Institute (Psilocybin Retreats),Retreat center,+31 20 217 0291,https://inwardbound.nl/,Retreat center,"52.5733514, 4.6515327","Noorderstraat 2, 1901 MT Castricum, Netherlands"
OMMIJ | World's No.1 Ayahuasca Ceremonies and Retreats,Retreat center,,http://www.om-mij.nl/,"Retreat center,Meditation center,Alternative medicine practitioner,Yoga retreat center","51.969024999999995, 6.294517","Paul Krugerlaan 28, 7001 DH Doetinchem, Netherlands"
Metamorphogenesis at the The Lake of Joy,Retreat center,+31 6 17257637,http://www.metamorphogenesis.nl/,"Retreat center,Alternative medicine practitioner,Foundation,Health resort,Herbal medicine store,Psychoneurological specialized clinic,Yoga retreat center","52.193830999999996, 4.7188327999999995","Enfin Seul Houseboat, Langeraarseweg 11a, 2461 CD Ter Aar, Netherlands"
New Eden,Retreat center,,http://www.neweden.org/,"Retreat center,Conference center,Health resort,Yoga retreat center","53.038368899999995, 6.1545447","Sparjeburd 2, 8409 CK Hemrik, Netherlands"
MindTravellers,Spa,+31 6 48463277,https://mindtravellers.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11498063858204731524,Spa,"51.941997099999995, 5.2168548999999995","Nijverheidsweg 7, 4104 AN Culemborg, Netherlands"
Yoga Mindfulness Ibiza - Inner Change Retreats Ibiza,Yoga retreat center,+31 6 19039961,https://www.yoga-mindfulness-ibiza.com/,"Yoga retreat center,Service establishment,Massage therapist,Meditation center,Psychologist,Psychotherapist,Spa","38.907328199999995, 1.4296479",
Inner Beauty Retreat | Netherlands & Ibiza,Retreat center,+31 6 38045541,http://www.innerbeautyretreat.com/,"Retreat center,Coaching center,Service establishment,Yoga retreat center","46.2614233, 4.3159176",
Dru YogaWeekend Retraite,Yoga retreat center,+31 6 19919929,http://www.druyogaweekendretraite.nl/,"Yoga retreat center,Bicycle rental service,Hiking area,Hotel,Meditation instructor,Restaurant,Sauna,Spa and health club,Swimming pool,Wellness program","52.1415783, 5.2933141","Van Weerden Poelmanweg 4-6, 3768 MN Soest, Netherlands"
One Day Retreats,Yoga retreat center,+31 6 15498606,http://onedayretreats.nl/,Yoga retreat center,"52.3954303, 4.9107441","Papaverweg 22, 1032 KJ Amsterdam, Netherlands"
meditation state of mind,Meditation center,+31 6 50521608,,Meditation center,"52.2298864, 5.0313739","Fetha, 3633 CT Vreeland, Netherlands"
About Life Retreats by Boutique Retreat Centre De Aardborst,Retreat center,,http://www.deaardborst.nl/aboutlife,"Retreat center,Training centre,Yoga retreat center","51.4268389, 5.6106511999999995","Aardborstweg 12, 5731 PS Mierlo, Netherlands"
Retreat with Maija,Yoga retreat center,+31 6 38359229,https://www.retreatwithmaija.com/,Yoga retreat center,"52.280528, 5.1673241","Brediusweg 24, 1401 AG Bussum, Netherlands"
Experiential Training Institute - Psychedelic Psilocybin Retreats & Training,Retreat center,+31 6 39794898,https://www.experientialtraininginstitute.com/,"Retreat center,Mental health service,Psychotherapist","52.358134899999996, 4.8891726","Frans Halsstraat 7, 1072 BJ Amsterdam, Netherlands"
New Eleusis - Psychedelisches Psilocybin Retreat,Retreat center,+49 174 2111966,http://www.new-eleusis.com/,"Retreat center,Mental health service,Vitamin & supplements store","52.3666451, 4.8890647","Herengracht 449A, 1017 BR Amsterdam, Netherlands"
Finca Vrij,Retreat center,+31 6 24128948,http://www.fincavrij.nl/,"Retreat center,Lodging,Meditation center","51.7253386, 3.8649301","Kapelleweg 29, 4322 NG Scharendijke, Netherlands"
Retreats voor Thuis,Yoga retreat center,+31 6 19782723,https://retreatsvoorthuis.nl/,"Yoga retreat center,Health counselor","51.8369735, 5.8404688","Distelstraat 1a, 6542 LM Nijmegen, Netherlands"
Beyond Mindfulness Retraites,Yoga retreat center,+31 6 17720928,https://beyondmindfulness.nl/mindfulness-retraite/,"Yoga retreat center,Meditation center","53.4002656, 5.3425747999999995","Badweg Hoorn 11, 8896 KC Hoorn, Netherlands"
RETREAT,Cosmetics store,+31 10 303 3779,https://www.retreat.nl/,"Cosmetics store,Beauty salon,Perfume store","51.9190429, 4.473298","Van Oldenbarneveltstraat 123A, 3012 GT Rotterdam, Netherlands"
Tree of Life Facilitation Services LLC,Retreat Center,,https://www.treeoflifefacilitation.com/,Retreat Center,"45.538774, -122.6748786",
PachaMama Eco Village & Retreat Center,Retreat center,,http://www.pachamama.com/,Retreat center,"10.034631899999999, -85.70643199999999","Apartado #110, Boca de Nosara, Provincia de Guanacaste, Nicoya, 50206, Costa Rica"
Mushroom Awakening - Individual retreats for Men,Mental health service,+506 8695 3105,https://www.mushroomawakening.com/,Mental health service,"9.2593573, -83.78914259999999","San José Province, San Salvador, Costa Rica"
Kinkara Luxury Retreat,Resort hotel,(510) 443-0660,https://www.kinkara.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,Resort hotel,"9.3638771, -83.6253425","100m Norte Pulpería la Valencia, Santa Elena, Costa Rica"
Nada Brahma - Ayahuasca Spiritual Retreats Costa Rica,Retreat center,+506 8864 3241,https://nadabrahmahealingcenter.com/,"Retreat center,Service establishment","8.2588996, -84.93997039999999",
Holos Retreat Center,Hotel,+506 8884 6567,http://holos.global/,Hotel,"9.258125999999999, -83.8009587","San José Province, Pérez Zeledón, Costa Rica"
Costa Rica,,,,,"9.748916999999999, -83.753428",
The Retreat Costa Rica - Wellness Resort & Spa,Hotel,+506 2106 3900,https://www.theretreatcostarica.com/,Hotel,"9.9667446, -84.4414927","Entrada de adoquín, Atenas, Barrio Jesús 700 metros Oeste de la entrada de Barroeta, Alajuela Province, Atenas, Costa Rica"
